df_stat,crit_value_1pct,crit_value_5pct,crit_value_10pct,half_life,time_resolution,start_date,end_date,length
-3.1058449005288384,-3.43,-2.86,-2.57,118.39566862100857,300,2017-09-25,2017-10-05,-10
-2.2372094938102567,-3.43,-2.86,-2.57,594.1903956645264,1800,2017-04-03,2017-09-04,-154
-2.707661191230624,-3.43,-2.86,-2.57,355.963861319332,900,2017-07-23,2017-10-01,-70
-1.924342024916177,-3.51,-2.89,-2.58,12.14509453110242,86400,2017-05-19,2017-08-21,-94
-1.5375206568823732,-3.51,-2.89,-2.58,11.859931165732856,86400,2017-02-25,2017-04-23,-57
-2.7875868723534887,-3.43,-2.86,-2.57,218.63266011495475,1800,2017-04-24,2017-07-24,-91
-2.3010279738194157,-3.43,-2.86,-2.57,62.60538374765416,14400,2017-03-02,2017-08-03,-154
-1.918064239784995,-3.58,-2.93,-2.6,4.83239262757324,86400,2017-05-26,2017-06-30,-35
-1.899772001843274,-3.44,-2.87,-2.57,28.2689607230031,7200,2017-07-14,2017-08-04,-21
-2.368775646479754,-3.44,-2.87,-2.57,29.956917376172587,7200,2017-08-17,2017-09-23,-37
-1.9284021253431818,-3.51,-2.89,-2.58,6.635526919218197,86400,2017-07-12,2017-09-01,-51
-2.761182187835856,-3.43,-2.86,-2.57,116.12586707694264,1800,2017-06-16,2017-07-28,-42
-2.2630443165085974,-3.46,-2.88,-2.57,10.944733696155433,86400,2017-03-20,2017-07-14,-116
-2.6111870544976234,-3.75,-3,-2.63,-2.2844562768070635,86400,2017-09-25,2017-10-02,-7
-1.7289253844391768,-3.51,-2.89,-2.58,5.040054333537106,7200,2017-06-26,2017-07-04,-8
-1.8462005336316343,-3.44,-2.87,-2.57,21.385038378132897,14400,2017-02-28,2017-05-21,-82
-2.277043832619931,-3.75,-3,-2.63,0.5460343901171415,86400,2017-09-20,2017-09-28,-8
-2.31484669942112,-3.43,-2.86,-2.57,138.09066377123418,7200,2017-04-30,2017-09-28,-151
-2.4959548721770526,-3.51,-2.89,-2.58,4.2817272082538755,14400,2017-08-30,2017-09-08,-9
-5.1454190323532965,-3.43,-2.86,-2.57,48.44537900200752,300,2017-09-02,2017-09-16,-14
-2.082591774834324,-3.46,-2.88,-2.57,16.06972631218759,14400,2017-04-17,2017-05-13,-26
-1.9093598279809483,-3.46,-2.88,-2.57,14.287225766728598,86400,2017-05-25,2017-09-17,-115
-2.0389799532144113,-3.51,-2.89,-2.58,7.164838421627211,86400,2017-07-25,2017-09-29,-66
-2.8743860398464207,-3.43,-2.86,-2.57,221.02409705095783,900,2017-04-07,2017-05-25,-48
-2.846363614222732,-3.43,-2.86,-2.57,781.7878428283954,300,2017-07-21,2017-09-10,-51
-2.915026285076921,-3.43,-2.86,-2.57,1528.1291034161366,300,2017-04-09,2017-08-25,-138
-2.059219576359888,-3.51,-2.89,-2.58,9.853004720841533,86400,2017-05-02,2017-08-08,-98
-1.5708181629973208,-3.75,-3,-2.63,-2.0975253905045133,86400,2017-07-28,2017-08-19,-22
-3.59045571261271,-3.43,-2.86,-2.57,141.4287107963376,900,2017-01-05,2017-02-13,-39
-2.5784727760911346,-3.43,-2.86,-2.57,204.67394718188675,1800,2017-07-21,2017-10-03,-74
-2.414771814623342,-3.43,-2.86,-2.57,81.06226684662933,1800,2017-01-25,2017-02-18,-24
-2.2089256103155672,-3.46,-2.88,-2.57,12.495866960712027,86400,2017-03-03,2017-07-20,-139
-3.4678970861112584,-3.43,-2.86,-2.57,780.7762066225479,300,2017-05-18,2017-07-17,-60
-2.959857578288808,-3.43,-2.86,-2.57,153.29685209227716,900,2017-05-03,2017-06-16,-44
-2.57435077716915,-3.43,-2.86,-2.57,583.106550287498,900,2017-05-07,2017-08-20,-105
-1.4509113139392062,-3.51,-2.89,-2.58,23.109037622940516,86400,2017-02-22,2017-04-24,-61
-3.520152173726307,-3.43,-2.86,-2.57,1419.8213651572976,300,2017-02-18,2017-06-21,-123
-2.2228253813240837,-3.46,-2.88,-2.57,8.582732877310702,14400,2017-07-05,2017-07-25,-20
-2.266407907379469,-3.58,-2.93,-2.6,3.322543769336713,7200,2017-09-21,2017-09-24,-3
-3.1210718090857363,-3.43,-2.86,-2.57,350.2305142730594,1800,2017-01-03,2017-07-22,-200
-2.536978057755885,-3.43,-2.86,-2.57,1528.8244041766402,300,2017-04-01,2017-08-29,-150
-1.804826354368713,-3.46,-2.88,-2.57,28.745756241625273,86400,2017-02-10,2017-06-10,-120
-2.669931676174579,-3.43,-2.86,-2.57,718.7559653052269,900,2017-01-10,2017-04-14,-94
-2.803056157981912,-3.43,-2.86,-2.57,475.55068094050495,900,2017-01-29,2017-06-17,-139
-2.1974724550754017,-3.43,-2.86,-2.57,140.22922922514476,7200,2017-04-29,2017-09-18,-142
-2.139728060016447,-3.43,-2.86,-2.57,111.79195291785825,14400,2017-01-05,2017-10-04,-272
-1.8788688625734915,-3.43,-2.86,-2.57,74.23762556235923,7200,2017-03-02,2017-08-30,-181
-2.605105207130499,-3.43,-2.86,-2.57,893.9566318778343,900,2017-03-15,2017-09-28,-197
-2.221050939878768,-3.43,-2.86,-2.57,401.7305278441462,1800,2017-05-12,2017-08-24,-104
-2.077694057315809,-3.75,-3,-2.63,2.3157895133996647,14400,2017-09-22,2017-09-25,-3
-3.5395377937306693,-3.43,-2.86,-2.57,1065.4878232100739,300,2017-01-07,2017-06-15,-159
-2.626964923977338,-3.44,-2.87,-2.57,21.456042534673315,900,2017-06-16,2017-06-21,-5
-2.959827615917251,-3.43,-2.86,-2.57,410.36360238057307,900,2017-07-06,2017-10-05,-91
-2.6395394241271317,-3.43,-2.86,-2.57,54.91968033837965,1800,2017-07-02,2017-07-22,-20
-2.009552715264169,-3.58,-2.93,-2.6,-6.481611277267754,86400,2017-04-23,2017-06-09,-47
-2.533371561501668,-3.43,-2.86,-2.57,100.17106695190212,900,2017-08-24,2017-09-07,-14
-3.0765876757236534,-3.43,-2.86,-2.57,40.51801421032729,900,2017-09-21,2017-09-29,-8
-2.440102819717428,-3.44,-2.87,-2.57,35.59693829759534,14400,2017-07-09,2017-09-27,-80
-2.7739121891750043,-3.43,-2.86,-2.57,196.8476500532713,1800,2017-05-09,2017-07-30,-82
-2.581390200933817,-3.44,-2.87,-2.57,22.614330085291115,7200,2017-08-19,2017-09-18,-30
-2.7975922492478307,-3.43,-2.86,-2.57,1461.8009048027109,300,2017-05-16,2017-08-25,-101
-1.858305827501843,-3.46,-2.88,-2.57,8.895021526340194,86400,2017-03-25,2017-09-08,-167
-1.7286342271028168,-3.58,-2.93,-2.6,3.8842604201296997,86400,2017-06-23,2017-07-27,-34
-1.740609032451041,-3.58,-2.93,-2.6,4.2129430487681905,14400,2017-08-25,2017-08-30,-5
