time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
86400,USDT,eg,-2.4000000000000004,26,33d 0H 0M 0S,19d 0H 0M 0S,log,fixed,11,scaled,2,1.5,0.55,3.5,FALSE,0.75,weighted,1.1,0.6907890711546347
14400,BTC,eg,-2.55,30,50d 0H 0M 0S,50d 0H 0M 0S,raw,rolling,168,discrete,2,2.55,0.75,6.25,TRUE,1.5,scaled,1.2,0.6897823031273311
14400,USDT,eg,-1.55,10,29d 0H 0M 0S,23d 0H 0M 0S,log,fixed,174,scaled,4,1,0.30000000000000004,4.3,TRUE,0.05,equal,2,0.689781748010026
86400,BTC,distance,-1.2,28,60d 0H 0M 0S,5d 0H 0M 0S,log,rolling,52,scaled,3,2.85,0.2,3.5,FALSE,1.4500000000000002,weighted,1.6,0.6897237039718185
900,BTC,eg,-3.15,20,11d 0H 0M 0S,47d 0H 0M 0S,log,fixed,1056,discrete,3,2.35,0.9500000000000001,3.65,TRUE,0.9,equal,1.35,0.6891686286553447
7200,BTC,eg,-3.6500000000000004,30,59d 0H 0M 0S,57d 0H 0M 0S,raw,fixed,108,scaled,2,2.25,0,4.7,TRUE,0.15000000000000002,scaled,1.65,0.688781122928345
1800,BTC,eg,-1.2,18,6d 0H 0M 0S,11d 0H 0M 0S,log,fixed,288,discrete,3,2.05,0.2,3,TRUE,1.8,equal,1.45,0.6886081366751066
14400,BTC,eg,-1.25,12,60d 0H 0M 0S,4d 0H 0M 0S,log,fixed,60,scaled,4,1,0.2,6.4,TRUE,1.55,weighted,1.2,0.6884182307269167
7200,BTC,eg,-2.1,26,40d 0H 0M 0S,14d 0H 0M 0S,log,rolling,216,scaled,2,2.35,0.05,3.4,TRUE,1.85,weighted,1.6,0.6884024887288547
900,USDT,distance,-2.9000000000000004,10,56d 0H 0M 0S,52d 0H 0M 0S,raw,fixed,5280,discrete,2,2.9000000000000004,0.8,6.9,TRUE,1.9500000000000002,weighted,1.65,0.6883945253504797
900,BTC,distance,-1,26,45d 0H 0M 0S,14d 0H 0M 0S,raw,fixed,1056,discrete,2,2.5,0.5,5.25,TRUE,0.2,equal,1.35,0.6883375054557306
300,USDT,eg,-1.65,10,21d 0H 0M 0S,10d 0H 0M 0S,raw,rolling,6048,discrete,2,1.2,0.05,6.75,FALSE,0.15000000000000002,weighted,1.45,0.6880082289369662
14400,BTC,distance,-2.6,14,38d 0H 0M 0S,46d 0H 0M 0S,raw,rolling,210,scaled,2,2.8,0.45,3.05,FALSE,0.05,equal,1.5,0.6878372531215005
1800,USDT,distance,-2.9000000000000004,14,34d 0H 0M 0S,3d 0H 0M 0S,raw,fixed,1632,scaled,4,1.9500000000000002,0.05,5.4,TRUE,1.2000000000000002,equal,1.8,0.6877861926492209
300,BTC,eg,-3.7,8,26d 0H 0M 0S,38d 0H 0M 0S,raw,fixed,7488,discrete,3,1.9,0.25,3.2,TRUE,1.55,equal,2,0.6872000225465558
14400,BTC,eg,-2.25,16,57d 0H 0M 0S,49d 0H 0M 0S,raw,fixed,96,scaled,4,1.55,0,5.75,FALSE,1,weighted,1.4,0.6870422160620665
86400,BTC,distance,-3.95,16,21d 0H 0M 0S,32d 0H 0M 0S,log,fixed,21,discrete,4,1.85,0.6000000000000001,6.6,TRUE,0.45,weighted,1.7000000000000002,0.6867814452058035
7200,BTC,distance,-3.7,30,45d 0H 0M 0S,27d 0H 0M 0S,raw,rolling,108,discrete,3,1.2,0.1,6.800000000000001,TRUE,0.75,weighted,1.05,0.6862913211478632
7200,BTC,eg,-3.4000000000000004,18,33d 0H 0M 0S,34d 0H 0M 0S,raw,rolling,96,scaled,4,1.4,0.7000000000000001,3.7,FALSE,1.8,scaled,1.65,0.6858785936740265
14400,USDT,distance,-1.05,4,23d 0H 0M 0S,45d 0H 0M 0S,log,rolling,96,scaled,3,1.15,0.35000000000000003,3.9,FALSE,0.25,equal,1.2,0.685871109726189
1800,USDT,eg,-1.3,26,57d 0H 0M 0S,48d 0H 0M 0S,raw,rolling,1824,scaled,4,2.7,0.8,5.6,FALSE,1.1500000000000001,equal,1.4,0.6855456384085699
7200,BTC,distance,-1.75,4,51d 0H 0M 0S,10d 0H 0M 0S,log,rolling,576,discrete,4,2.5,0.4,3.45,TRUE,0.9,weighted,1.05,0.6853827333363149
300,USDT,distance,-1.7000000000000002,24,46d 0H 0M 0S,46d 0H 0M 0S,log,rolling,10080,discrete,4,2.45,0.4,3.1,TRUE,1.2000000000000002,equal,1.1,0.685187067293143
1800,BTC,eg,-1.45,6,9d 0H 0M 0S,54d 0H 0M 0S,raw,rolling,432,discrete,4,2.2,0,5.95,FALSE,0.30000000000000004,equal,1.05,0.6851512584054632
900,BTC,eg,-1.1,14,55d 0H 0M 0S,11d 0H 0M 0S,raw,fixed,1248,discrete,4,1.4,0.55,6.050000000000001,FALSE,0.05,weighted,1.25,0.6847666278667689
14400,BTC,distance,-1.25,18,48d 0H 0M 0S,39d 0H 0M 0S,log,fixed,144,discrete,4,1.05,0.5,3.8,TRUE,1.7000000000000002,weighted,1.9500000000000002,0.6842184856703327
86400,USDT,eg,-1.75,24,59d 0H 0M 0S,51d 0H 0M 0S,raw,fixed,54,scaled,3,2.45,0.25,6.800000000000001,TRUE,0.5,equal,1.2,0.6840220903784336
14400,BTC,eg,-3.6500000000000004,22,42d 0H 0M 0S,29d 0H 0M 0S,raw,rolling,234,discrete,2,1.85,0.35000000000000003,3.2,TRUE,1.7000000000000002,weighted,1.9,0.6838323164484332
