time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
7200,25d 0H 0M 0S,40d 0H 0M 0S,USDT,-3.42,300,6.98,discrete,log,0.9545783823630439
1800,32d 0H 0M 0S,38d 0H 0M 0S,USDT,-1.87,192,4.23,discrete,raw,0.9481157324948775
14400,59d 0H 0M 0S,8d 0H 0M 0S,USDT,-1.07,216,3.92,discrete,log,0.9473093386364162
86400,12d 0H 0M 0S,58d 0H 0M 0S,USDT,-1.17,12,3.12,scaled,log,0.9453086094148646
86400,19d 0H 0M 0S,35d 0H 0M 0S,USDT,-1.65,19,6.57,scaled,raw,0.9446190209948558
86400,29d 0H 0M 0S,25d 0H 0M 0S,USDT,-1.16,29,5.3100000000000005,discrete,raw,0.9424944229386687
900,21d 0H 0M 0S,51d 0H 0M 0S,BTC,-2.98,2016,3.77,discrete,raw,0.9414455465278634
86400,10d 0H 0M 0S,50d 0H 0M 0S,BTC,-2.9299999999999997,10,3.83,discrete,log,0.9407717707990358
7200,26d 0H 0M 0S,42d 0H 0M 0S,USDT,-2.41,144,4.48,discrete,log,0.9387065145187079
14400,47d 0H 0M 0S,17d 0H 0M 0S,USDT,-2.1,72,3.07,discrete,log,0.9369832993395721
14400,30d 0H 0M 0S,14d 0H 0M 0S,BTC,-1.31,180,5.46,discrete,log,0.9363127537930968
14400,39d 0H 0M 0S,24d 0H 0M 0S,BTC,-3.31,234,6.5600000000000005,scaled,raw,0.9355443549925669
1800,56d 0H 0M 0S,45d 0H 0M 0S,BTC,-3.7600000000000002,2448,4.59,scaled,raw,0.9340455435198852
900,10d 0H 0M 0S,35d 0H 0M 0S,BTC,-2.3,960,5.71,scaled,raw,0.9293713902031221
14400,23d 0H 0M 0S,15d 0H 0M 0S,USDT,-1.97,138,3.94,discrete,log,0.9249072303389233
900,11d 0H 0M 0S,43d 0H 0M 0S,BTC,-1.96,1056,4.5600000000000005,discrete,log,0.9184635061261626
14400,58d 0H 0M 0S,58d 0H 0M 0S,USDT,-2.55,60,4.43,discrete,log,0.9173076790201431
300,24d 0H 0M 0S,55d 0H 0M 0S,BTC,-1.48,6912,3.76,scaled,raw,0.9166693635371401
7200,22d 0H 0M 0S,43d 0H 0M 0S,USDT,-1.62,264,3.09,discrete,log,0.9161277701549693
86400,36d 0H 0M 0S,47d 0H 0M 0S,USDT,-2.12,12,4.8100000000000005,scaled,log,0.9116385291993918
14400,9d 0H 0M 0S,25d 0H 0M 0S,USDT,-1.47,54,6.890000000000001,discrete,log,0.9045758604950058
